Cm,mean_rate,std_rate,n,fit_se,combined_se
0,0.030224095857725453,0.007828789124235094,3,0.001183817565928628,0.004571336900774319
1,0.035123334351998596,0.007150267126335331,3,0.0010942456167048308,0.004176270004347159
2,0.018444181436055643,0.002979404511000266,3,0.0007264817081971392,0.0017705580017340831
3,0.011820250715679326,0.0036078737202452486,3,0.0011390731332068204,0.002184356532561317
4,0.0101105834095359,0.0014443374641539904,3,0.0012835577572148833,0.0011155912074568774
5,0.00020757505232775066,0.0006617284542655746,3,0.0015291285137485893,0.0009619630205546151
6,0.0008109131796410875,0.0003353587024227083,3,0.0010537519170306746,0.0006384508756713301
7,0.00047979741624510323,0.0003593681524481933,3,0.000920669691077803,0.0005706073223806734
8,0.00027371373542805876,0.00019738433532332338,3,0.001056728265671905,0.0006206542793163203
10,0.00037916155703165733,0.0005052963623651132,3,0.0010095583998762654,0.0006518007304332977
