TB194_Cm0;TB204_Cm1;TB194_Cm2;TB204_Cm3;TB194_Cm4;TB204_Cm5;TB194_Cm6;TB204_Cm7;TB194_Cm8;TB204_Cm10;TB194_Cm0;TB204_Cm1;TB194_Cm2;TB204_Cm3;TB194_Cm4;TB204_Cm5;TB194_Cm6;TB204_Cm7;TB194_Cm8;TB204_Cm10;TB194_Cm0;TB204_Cm1;TB194_Cm2;TB204_Cm3;TB194_Cm4;TB204_Cm5;TB194_Cm6;TB204_Cm7;TB194_Cm8;TB204_Cm10;TB194_Cm0;TB204_Cm1;TB194_Cm2;TB204_Cm3;TB194_Cm4;TB204_Cm5;TB194_Cm6;TB204_Cm7;TB194_Cm8;TB204_Cm10;TB204_Cm0;TB194_Cm1;TB204_Cm2;TB194_Cm3;TB204_Cm4;TB194_Cm5;TB204_Cm6;TB194_Cm7;TB204_Cm8;TB194_Cm10;TB204_Cm0;TB194_Cm1;TB204_Cm2;TB194_Cm3;TB204_Cm4;TB194_Cm5;TB204_Cm6;TB194_Cm7;TB204_Cm8;TB194_Cm10;TB204_Cm0;TB194_Cm1;TB204_Cm2;TB194_Cm3;TB204_Cm4;TB194_Cm5;TB204_Cm6;TB194_Cm7;TB204_Cm8;TB194_Cm10;TB204_Cm0;TB194_Cm1;TB204_Cm2;TB194_Cm3;TB204_Cm4;TB194_Cm5;TB204_Cm6;TB194_Cm7;TB204_Cm8;TB194_Cm10;Time
0.036610889;-0.000389111;0.033610889;0.004610889;0.008610889;0.074610889;0.059610889;0.013610889;0.035610889;0.020610889;0.001610889;-0.013389111;-0.001389111;-0.010389111;0.014610889;-0.016389111;0.018610889;0.018610889;0.011610889;-0.001389111;0.025610889;-0.023389111;0.014610889;0.006610889;0.013610889;0.014610889;0.002610889;0.016610889;0.014610889;0.015610889;-0.000389111;-0.031389111;0.019610889;0.016610889;-0.011389111;-0.020389111;0.029610889;0.013610889;0.015610889;0.022610889;0.049610889;0.013610889;0.014610889;-0.012389111;-0.012389111;0.009610889;0.029610889;0.009610889;0.011610889;0.015610889;0.018610889;-0.005389111;-0.004389111;0.005610889;-0.011389111;0.016610889;-0.001389111;0.012610889;0.021610889;0.019610889;0.001610889;0.028610889;-0.008389111;-0.010389111;-0.021389111;-0.009389111;0.016610889;0.031610889;0.010610889;0.015610889;-0.005389111;-0.019389111;-0.014389111;-0.008389111;-0.031389111;-0.004389111;-0.000389111;0.053610889;-0.000389111;-0.005389111;49.84961089
0.041610889;-0.000389111;0.035610889;0.004610889;0.011610889;0.072610889;0.060610889;0.012610889;0.038610889;0.019610889;0.009610889;-0.012389111;0.001610889;-0.008389111;0.017610889;-0.014389111;0.021610889;0.019610889;0.013610889;-0.001389111;0.029610889;-0.022389111;0.018610889;0.006610889;0.018610889;0.015610889;0.006610889;0.017610889;0.015610889;0.018610889;0.000610889;-0.029389111;0.023610889;0.017610889;-0.007389111;-0.019389111;0.032610889;0.013610889;0.020610889;0.025610889;0.053610889;0.017610889;0.015610889;-0.009389111;-0.014389111;0.011610889;0.031610889;0.012610889;0.013610889;0.019610889;0.019610889;-0.003389111;-0.004389111;0.006610889;-0.011389111;0.019610889;-0.003389111;0.016610889;0.023610889;0.023610889;0.004610889;0.031610889;-0.007389111;-0.010389111;-0.018389111;-0.005389111;0.019610889;0.034610889;0.012610889;0.018610889;-0.004389111;-0.016389111;-0.013389111;-0.005389111;-0.031389111;-0.001389111;0.002610889;0.055610889;0.002610889;-0.002389111;54.84961089
0.058610889;0.000610889;0.038610889;0.004610889;0.016610889;0.073610889;0.063610889;0.013610889;0.041610889;0.019610889;0.013610889;-0.009389111;0.005610889;-0.007389111;0.019610889;-0.014389111;0.029610889;0.023610889;0.018610889;-0.001389111;0.033610889;-0.020389111;0.020610889;0.008610889;0.018610889;0.014610889;0.006610889;0.017610889;0.019610889;0.017610889;0.005610889;-0.029389111;0.027610889;0.020610889;-0.006389111;-0.019389111;0.036610889;0.014610889;0.021610889;0.023610889;0.052610889;0.017610889;0.015610889;-0.007389111;-0.013389111;0.012610889;0.030610889;0.014610889;0.013610889;0.019610889;0.021610889;0.000610889;-0.001389111;0.009610889;-0.011389111;0.020610889;-0.001389111;0.019610889;0.022610889;0.024610889;0.006610889;0.033610889;-0.004389111;-0.005389111;-0.020389111;-0.004389111;0.018610889;0.036610889;0.013610889;0.020610889;-0.001389111;-0.013389111;-0.013389111;-0.003389111;-0.031389111;-0.000389111;0.001610889;0.056610889;0.003610889;-0.001389111;59.84961089
0.059610889;-0.001389111;0.043610889;0.002610889;0.015610889;0.072610889;0.065610889;0.011610889;0.045610889;0.016610889;0.019610889;-0.008389111;0.011610889;-0.007389111;0.023610889;-0.013389111;0.031610889;0.020610889;0.019610889;-0.001389111;0.035610889;-0.020389111;0.023610889;0.007610889;0.019610889;0.014610889;0.009610889;0.016610889;0.018610889;0.017610889;0.006610889;-0.029389111;0.029610889;0.018610889;-0.003389111;-0.019389111;0.036610889;0.013610889;0.021610889;0.023610889;0.056610889;0.019610889;0.016610889;-0.005389111;-0.014389111;0.015610889;0.029610889;0.016610889;0.012610889;0.021610889;0.020610889;0.002610889;-0.003389111;0.011610889;-0.012389111;0.022610889;-0.003389111;0.020610889;0.022610889;0.027610889;0.007610889;0.033610889;-0.006389111;-0.005389111;-0.019389111;-0.003389111;0.018610889;0.037610889;0.013610889;0.023610889;0.000610889;-0.013389111;-0.011389111;-0.003389111;-0.032389111;0.000610889;0.000610889;0.059610889;0.000610889;-0.000389111;64.84961089
0.066610889;0.003610889;0.060610889;0.006610889;0.023610889;0.072610889;0.074610889;0.015610889;0.049610889;0.021610889;0.025610889;-0.005389111;0.016610889;-0.006389111;0.028610889;-0.011389111;0.036610889;0.024610889;0.025610889;0.000610889;0.041610889;-0.017389111;0.027610889;0.008610889;0.022610889;0.016610889;0.013610889;0.018610889;0.024610889;0.018610889;0.011610889;-0.026389111;0.033610889;0.019610889;0.000610889;-0.017389111;0.040610889;0.016610889;0.025610889;0.026610889;0.061610889;0.028610889;0.020610889;0.000610889;-0.011389111;0.022610889;0.033610889;0.022610889;0.014610889;0.027610889;0.027610889;0.007610889;-0.001389111;0.016610889;-0.010389111;0.024610889;-0.001389111;0.024610889;0.022610889;0.032610889;0.011610889;0.039610889;-0.004389111;-0.002389111;-0.018389111;0.000610889;0.019610889;0.040610889;0.013610889;0.024610889;0.004610889;-0.007389111;-0.012389111;0.002610889;-0.030389111;0.005610889;0.001610889;0.063610889;0.001610889;0.005610889;69.84961089
0.080610889;0.006610889;0.075610889;0.006610889;0.028610889;0.072610889;0.078610889;0.014610889;0.053610889;0.020610889;0.033610889;-0.004389111;0.022610889;-0.007389111;0.033610889;-0.011389111;0.042610889;0.020610889;0.029610889;-0.001389111;0.045610889;-0.018389111;0.031610889;0.009610889;0.025610889;0.014610889;0.018610889;0.018610889;0.026610889;0.017610889;0.017610889;-0.024389111;0.040610889;0.019610889;0.003610889;-0.017389111;0.045610889;0.014610889;0.029610889;0.024610889;0.069610889;0.028610889;0.019610889;0.001610889;-0.013389111;0.022610889;0.029610889;0.023610889;0.014610889;0.029610889;0.031610889;0.017610889;0.000610889;0.020610889;-0.010389111;0.029610889;-0.002389111;0.027610889;0.021610889;0.033610889;0.016610889;0.042610889;-0.002389111;0.002610889;-0.018389111;0.001610889;0.017610889;0.044610889;0.011610889;0.027610889;0.008610889;-0.003389111;-0.010389111;0.005610889;-0.030389111;0.007610889;0.002610889;0.066610889;0.000610889;0.004610889;74.84961089
0.096610889;0.010610889;0.076610889;0.007610889;0.038610889;0.077610889;0.086610889;0.013610889;0.063610889;0.020610889;0.046610889;0.000610889;0.033610889;-0.002389111;0.040610889;-0.009389111;0.052610889;0.021610889;0.038610889;0.001610889;0.051610889;-0.011389111;0.039610889;0.011610889;0.032610889;0.018610889;0.026610889;0.018610889;0.033610889;0.018610889;0.022610889;-0.023389111;0.046610889;0.021610889;0.009610889;-0.016389111;0.050610889;0.016610889;0.033610889;0.026610889;0.076610889;0.037610889;0.022610889;0.012610889;-0.010389111;0.030610889;0.034610889;0.031610889;0.015610889;0.036610889;0.038610889;0.023610889;0.000610889;0.028610889;-0.007389111;0.036610889;0.000610889;0.036610889;0.024610889;0.042610889;0.022610889;0.047610889;0.000610889;0.006610889;-0.018389111;0.009610889;0.019610889;0.050610889;0.014610889;0.034610889;0.013610889;0.000610889;-0.009389111;0.010610889;-0.029389111;0.011610889;0.001610889;0.071610889;0.002610889;0.011610889;79.84961089
0.121610889;0.008610889;0.087610889;0.009610889;0.043610889;0.075610889;0.093610889;0.014610889;0.066610889;0.022610889;0.060610889;0.000610889;0.038610889;-0.004389111;0.047610889;-0.009389111;0.060610889;0.022610889;0.043610889;-0.000389111;0.058610889;-0.011389111;0.044610889;0.009610889;0.033610889;0.016610889;0.030610889;0.017610889;0.038610889;0.018610889;0.030610889;-0.021389111;0.048610889;0.022610889;0.013610889;-0.017389111;0.057610889;0.017610889;0.036610889;0.026610889;0.083610889;0.039610889;0.021610889;0.014610889;-0.011389111;0.034610889;0.029610889;0.033610889;0.014610889;0.037610889;0.048610889;0.028610889;0.002610889;0.033610889;-0.009389111;0.048610889;-0.000389111;0.040610889;0.025610889;0.044610889;0.024610889;0.052610889;-0.001389111;0.008610889;-0.018389111;0.012610889;0.021610889;0.052610889;0.011610889;0.036610889;0.017610889;0.003610889;-0.010389111;0.013610889;-0.031389111;0.015610889;0.002610889;0.073610889;0.000610889;0.014610889;84.84961089
0.178610889;0.008610889;0.109610889;0.008610889;0.057610889;0.075610889;0.098610889;0.015610889;0.078610889;0.020610889;0.082610889;0.004610889;0.050610889;-0.001389111;0.056610889;-0.005389111;0.073610889;0.025610889;0.049610889;0.000610889;0.067610889;-0.008389111;0.056610889;0.012610889;0.046610889;0.016610889;0.041610889;0.021610889;0.042610889;0.019610889;0.042610889;-0.016389111;0.063610889;0.023610889;0.021610889;-0.016389111;0.065610889;0.014610889;0.043610889;0.026610889;0.095610889;0.047610889;0.025610889;0.024610889;-0.009389111;0.042610889;0.029610889;0.040610889;0.013610889;0.043610889;0.051610889;0.036610889;0.005610889;0.038610889;-0.010389111;0.050610889;-0.000389111;0.047610889;0.023610889;0.049610889;0.035610889;0.061610889;0.001610889;0.016610889;-0.017389111;0.020610889;0.019610889;0.060610889;0.013610889;0.043610889;0.025610889;0.011610889;-0.006389111;0.020610889;-0.030389111;0.022610889;0.003610889;0.080610889;0.000610889;0.020610889;89.84961089
0.228610889;0.019610889;0.134610889;0.010610889;0.070610889;0.077610889;0.115610889;0.018610889;0.085610889;0.024610889;0.103610889;0.008610889;0.058610889;-0.001389111;0.066610889;-0.009389111;0.081610889;0.025610889;0.062610889;0.000610889;0.082610889;-0.001389111;0.066610889;0.013610889;0.051610889;0.017610889;0.047610889;0.019610889;0.049610889;0.017610889;0.049610889;-0.011389111;0.066610889;0.025610889;0.032610889;-0.016389111;0.070610889;0.016610889;0.048610889;0.025610889;0.102610889;0.056610889;0.026610889;0.029610889;-0.010389111;0.048610889;0.029610889;0.046610889;0.014610889;0.050610889;0.061610889;0.046610889;0.007610889;0.049610889;-0.006389111;0.055610889;-0.000389111;0.052610889;0.023610889;0.059610889;0.043610889;0.065610889;0.005610889;0.024610889;-0.014389111;0.027610889;0.022610889;0.068610889;0.016610889;0.051610889;0.031610889;0.018610889;-0.006389111;0.026610889;-0.027389111;0.030610889;0.005610889;0.088610889;0.003610889;0.027610889;94.84961089
